Algoritmo,N,Tipo,Tempo(ms),Comparacoes,Trocas
BubbleSort, 10000, aleatorio, 126.0000, 49995000, 25216672
BubbleSortParada, 10000, aleatorio, 127.0000, 49978529, 25216672
SelecaoDireta, 10000, aleatorio, 72.0000, 49995000, 9996
InsercaoDireta, 10000, aleatorio, 49.0000, 25226665, 25226671
InsercaoBinaria, 10000, aleatorio, 40.0000, 118998, 25226671
InsercaoTernaria, 10000, aleatorio, 40.0000, 127554, 25226671
ShellSort, 10000, aleatorio, 2.0000, 271301, 276407
HeapSort, 10000, aleatorio, 2.0000, 235352, 124210
MergeSort, 10000, aleatorio, 1.0000, 120524, 267232
QuickSortFim, 10000, aleatorio, 1.0000, 149608, 86250
QuickSortCentro, 10000, aleatorio, 1.0000, 158867, 101585
QuickSortMediana, 10000, aleatorio, 0.0000, 141190, 77419
RadixSort, 10000, aleatorio, 3.0000, 9999, 200000
BucketSort, 10000, aleatorio, 1.0000, 24571, 26275
BubbleSort, 10000, crescente, 77.0000, 49995000, 0
BubbleSortParada, 10000, crescente, 0.0000, 9999, 0
SelecaoDireta, 10000, crescente, 70.0000, 49995000, 0
InsercaoDireta, 10000, crescente, 0.0000, 9999, 9999
InsercaoBinaria, 10000, crescente, 0.0000, 123617, 9999
InsercaoTernaria, 10000, crescente, 0.0000, 150486, 9999
ShellSort, 10000, crescente, 0.0000, 120005, 120005
HeapSort, 10000, crescente, 1.0000, 244460, 131956
MergeSort, 10000, crescente, 0.0000, 69008, 267232
QuickSortFim, 10000, crescente, 155.0000, 49995000, 50004999
QuickSortCentro, 10000, crescente, 0.0000, 113631, 66421
QuickSortMediana, 10000, crescente, 0.0000, 125439, 68230
RadixSort, 10000, crescente, 1.0000, 9999, 100000
BucketSort, 10000, crescente, 1.0000, 20571, 20573
BubbleSort, 10000, decrescente, 154.0000, 49995000, 49995000
BubbleSortParada, 10000, decrescente, 166.0000, 49995000, 49995000
SelecaoDireta, 10000, decrescente, 76.0000, 49995000, 5000
InsercaoDireta, 10000, decrescente, 97.0000, 49995000, 50004999
InsercaoBinaria, 10000, decrescente, 78.0000, 113631, 50004999
InsercaoTernaria, 10000, decrescente, 78.0000, 75243, 50004999
ShellSort, 10000, decrescente, 1.0000, 172578, 182565
HeapSort, 10000, decrescente, 1.0000, 226682, 116696
MergeSort, 10000, decrescente, 0.0000, 64608, 267232
QuickSortFim, 10000, decrescente, 112.0000, 49995000, 25004999
QuickSortCentro, 10000, decrescente, 0.0000, 117534, 72675
QuickSortMediana, 10000, decrescente, 1.0000, 236628, 144436
RadixSort, 10000, decrescente, 1.0000, 9999, 100000
BucketSort, 10000, decrescente, 1.0000, 20571, 21146
BubbleSort, 100000, aleatorio, 12637.0000, 4999950000, 2505821375
BubbleSortParada, 100000, aleatorio, 12976.0000, 4999543649, 2505821375
SelecaoDireta, 100000, aleatorio, 7033.0000, 4999950000, 99991
InsercaoDireta, 100000, aleatorio, 4843.0000, 2505921366, 2505921374
InsercaoBinaria, 100000, aleatorio, 3933.0000, 1522692, 2505921374
InsercaoTernaria, 100000, aleatorio, 3937.0000, 1623710, 2505921374
ShellSort, 100000, aleatorio, 19.0000, 4294596, 4345225
HeapSort, 100000, aleatorio, 16.0000, 3019371, 1575028
MergeSort, 100000, aleatorio, 13.0000, 1536436, 3337856
QuickSortFim, 100000, aleatorio, 8.0000, 2088992, 1019334
QuickSortCentro, 100000, aleatorio, 9.0000, 1993501, 1188274
QuickSortMediana, 100000, aleatorio, 8.0000, 1798581, 939452
RadixSort, 100000, aleatorio, 26.0000, 99999, 2000000
BucketSort, 100000, aleatorio, 6.0000, 245247, 261722
BubbleSort, 100000, crescente, 7762.0000, 4999950000, 0
BubbleSortParada, 100000, crescente, 1.0000, 99999, 0
SelecaoDireta, 100000, crescente, 7028.0000, 4999950000, 0
InsercaoDireta, 100000, crescente, 0.0000, 99999, 99999
